id,name,amount,deadline,notes,levelofstudy,link,gender,citizenship,yearofstudy,schoolsattended,heritage,schoolofstudy,fieldofstudy,regionofresidence,courseload,regionofstudy,academicstanding,activities,financialneed,contactinfoname,contactinfoemail,contactinfophone,contactinfoaddress
1,Robert M. Cook Scholarship in Fine Arts,$500,"March 15, 2024","New high school students entering a Bachelor of Fine Arts, Bachelor of Music, Bachelor of Fine Arts/Bachelor of Education, or Bachelor of Music/Bachelor of Education degree at the University of Lethbridge. Students must demonstrate academic achievement (minimum 80% admission average), and have achieved a minimum of 80% in at least one Fine Arts discipline from high school. Nominated by the Faculty of Fine Arts. Payable upon confirmation of full-time enrolment in classes at the University of Lethbridge in the Fall and Spring terms immediately following the granting of the award.",No,https://www.scholarshipscanada.com//Scholarships/4132/Robert-M.-Cook-Scholarship-in-Fine-Arts,N/A,Any,Entering first year,Any School,N/A,University of Lethbridge,"Drama and Dramatics/Theatre Arts, General, Education, General, Fine/Studio Arts, General, Music, General",n/s,Full-time,Alberta,80,n/s,No,University of Lethbridge,N/A,403-329-2741,"4401 University Drive West, Lethbridge, AB, Canada.  T1K 3M4"
3,Vitaly Pecherskiy Entrance Award for Black and Indigenous Students,"$20,000","April 15, 2024","One award valued at $20,000, or two awards valued at $10,000 each, will be provided to Black and/or Indigenous undergraduate students entering Year One of Computer, Management, Mechatronics, Software or Systems Design Engineering. For the purpose of this scholarship, an Indigenous person is a person who self identifies as First Nations (Status/Non-Status), M�tis and/or Inuit. Candidates must be a Canadian citizen, permanent resident, or a protected person in Canada. Selection will be based on a combination of academic achievement, the Admission Information Form (AIF), the online video interview, as well as an application statement wherein students are asked to describe the impact this award will have on their pursuit of postsecondary studies. Interested students should submit an online application by April 15.",No,https://www.scholarshipscanada.com//Scholarships/75174/Vitaly-Pecherskiy-Entrance-Award-for-Black-and-Indigenous-Students,Any,Canada,"Entering first year, Entering or in first year",Any School,"Black,Indigenous",University of Waterloo,"Computer Engineering, General, Computer Software Engineering, Management Science, General, Mechatronics, Robotics, and Automation Engineering, Systems Engineering",n/s,Full-time,Ontario,N/A,n/s,No,Jessica Bruni,safainfo@uwaterloo.ca,(519) 888-4567 ext 46603,"The Centre, 1st Floor, Ira Needles Hall, University of Waterloo, Waterloo, ON, Canada.  N2L 3G1"
4,Aziz Shallwani Memorial Award for Black and Indigenous Students,"$1,650","April 15, 2024","An award, valued at up to $1,650, will be provided annually to a Black or Indigenous undergraduate student entering Year One of any program in the Faculty of Engineering. For the purpose of this scholarship, an Indigenous person is a person who self identifies as First Nations (Status/Non-Status), M�tis and/or Inuit. Selection will be based on a combination of academic achievement, the Admission Information Form (AIF), the online video interview, as well as an application statement wherein students are asked to describe the impact this award will have on their pursuit of post-secondary studies.",No,https://www.scholarshipscanada.com//Scholarships/75072/Aziz-Shallwani-Memorial-Award-for-Black-and-Indigenous-Students,Any,Any,"Entering first year, Entering or in first year",Any School,"Black,Indigenous",University of Waterloo,"Architecture (BArch, BA/BS, MArch, MA/MS, PhD), Chemical Engineering, Civil Engineering, General, Computer Engineering, General, Computer Software Engineering, Electrical, Electronics and Communications Engineering�more, Engineering, General, Environmental/Environmental Health Engineering, Geological/Geophysical Engineering, Management Science, General, Mechanical Engineering, Nanotechnology, Systems Engineering�less",n/s,Full-time,Ontario,N/A,n/s,No,Jessica Bruni,safainfo@uwaterloo.ca,(519) 888-4567 ext 46603,"The Centre, 1st Floor, Ira Needles Hall, University of Waterloo, Waterloo, ON, Canada.  N2L 3G1"
6,Chrysler Canada International Exchange Fund,N/A,"March 31, 2024","To help offset travel expenses for students of the Telfer School of Management participating in international exchange programs. The applicant must: be registered in a program at the Telfer School of Management of the University of Ottawa; participate in international exchange programs; and demonstrate financial need, as determined by the Financial Aid and Awards Service.",No,https://www.scholarshipscanada.com//Scholarships/57154/Chrysler-Canada-International-Exchange-Fund,Any,Any,"Entering or in first year, Entering or in second year, Entering or in third year, Entering or in fourth year",Any School,N/A,"Telfer School of Management, University of Ottawa/Universit� d'Ottawa","Accounting, Business Administration and Management, General, Business Administration, Management and Operations, Other, Business/Commerce, General, Entrepreneurship/Entrepreneurial Studies, Finance, General�more, Health Services Administration, Health/Health Care Administration/Management, Human Resources Management/Personnel Administration, General, International Business/Trade/Commerce, Law (LL.B, J.D., B.C.L.), Management Information Systems, General, Management Science, General, Marketing/Marketing Management, General�less",n/s,Full-time or Part-time,Ontario,N/A,Exchange Program,Yes,Celine Marie,fssrecherche@uottawa.ca,613-562-5800 ext 1398,"Faculty of Health Sciences, University of Ottawa, 539-540 King Edward, Ottawa, ON, Canada.  K1N 6N5"
7,Faculty of Science Undergraduate Research Scholarship,"$11,500","March 15, 2024","The Faculty of Science awards 16 of these scholarships to the best eligible students. This scholarship consists of two work terms with a research group at the Faculty of Science or the Faculty of Medicine (first work term = $5,000; second work term = $6,500). Students must be enrolled full time, for the first time in September, in an undergraduate program at the Faculty of Science and have a minimum admission average of 92%. They must also demonstrate research skills and involvement in extracurricular scientific activities. Applications must include a letter of recommendation from a science teacher and a 250-word text describing how the candidate explores their passion for science and shares it with others. Students must also be available for an interview in the spring. Applications must be submitted online.",No,https://www.scholarshipscanada.com//Scholarships/28154/Faculty-of-Science-Undergraduate-Research-Scholarship,Any,Canada,Entering first year,Any School,N/A,University of Ottawa/Universit� d'Ottawa,"Biochemistry, Biology/Biological Sciences, General, Biomedical Sciences, General, Chemistry, General, Economics, General, Environmental Science�more, Financial Mathematics, Geography, Geology/Earth Science, General, Mathematics, General, Ophthalmic Laboratory Technology/Technician, Pharmaceutical Sciences, Physics, General, Statistics, General�less",n/s,Full-time,n/s,92,Extracurricular Activities,No,Financial Aid and Awards,loansandawards@uOttawa.ca,613-562-5734,"Desmarais Building, 55 Laurier Avenue East, Room 3156	, Ottawa, ON, Canada.  K1N 6N5"
8,Dr. Dorothy J. Kergin Fellowship,"$15,000","March 15, 2024","Open to all eligible students at the master and doctorate level. Doctorate prize: $10,000; Master's prize: $5000.",No,https://www.scholarshipscanada.com//Scholarships/64940/Dr.-Dorothy-J.-Kergin-Fellowship,N/A,Canada,All Years,Any School,N/A,Any School,"Family Practice Nurse/Nurse Practitioner, Nursing Administration (MSN, MS, PhD), Nursing Science (MS, PhD), Nursing/Registered Nurse (RN, ASN, BSN, MSN)",n/s,Full-time or Part-time,Canada,N/A,n/s,No,Canadian Nurses Foundation,info@cnf-fiic.ca,6136800879 x 221,"135 Michael Cowpland Drive Suite 105, Kanata, ON, Canada.  K2M 2E9"
9,Diversability/Disability Award,"$1,000","March 15, 2024","Available to students who self-identify as having a diversability and/or disability and are currently enrolled in a RPN, LPN, or RN program. You must submit a 500-word essay detailing your experiences as a nursing student with a diversability and/or disability (positive or negative).",No,https://www.scholarshipscanada.com//Scholarships/84076/Diversability/Disability-Award,N/A,Canada,All Years,Any School,N/A,Any School,"Family Practice Nurse/Nurse Practitioner, Nursing Science (MS, PhD), Nursing/Registered Nurse (RN, ASN, BSN, MSN)",n/s,Full-time or Part-time,Canada,N/A,n/s,No,Canadian Nurses Foundation,info@cnf-fiic.ca,6136800879 x 221,"135 Michael Cowpland Drive Suite 105, Kanata, ON, Canada.  K2M 2E9"
11,CMH Staff Trust Diversity Bursary,"$1,000","July 17, 2024","The CMH Staff Trust Fund is an employee led and funded trust. For almost 50 years it has donated to local charities and organizations that help those in need in Cambridge, North Dumfries and the Region of Waterloo. In addition to supporting local charities, the CMH Staff Trust Fund members have developed an education bursary to help increase diversity in health care.

The Cambridge Memorial Hospital (CMH) Staff Trust Diversity Bursary is to assist African Canadians, Indigenous people, persons of colour, persons with disabilities and/or those identifying as 2SLGBTQIA+ in their pursuit of post-secondary education in a health-related discipline. The longer term goal is to create a more diverse health care workforce.

To be considered, bursary applicants must:

Identify as an African Canadian, Indigenous person, person of colour, having a disability, and/or belonging to the 2SLGBTQIA+ community.
Be a resident of the Region of Waterloo
Be starting or continuing full or part-time studies for the academic year in a Canadian post-secondary institution that is recognized by the Universities Canada or Colleges and Institutes Canada.",No,https://www.scholarshipscanada.com//Scholarships/67251/CMH-Staff-Trust-Diversity-Bursary,Any,Any,All Years,Any School,Any Visible Minority,Any School,"Health Professions and Related Clinical Sciences, Other, Nursing, Other, Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other",Ontario,Full-time or Part-time,Canada,N/A,School or Community Service,Yes,Bonnie Collins ,bcollins@cmh.org,N/A,"700 Coronation Blvd, Cambridge, ON, Canada.  N1R 3G2"
13,Frances Moran Award,"$7,500","March 15, 2024",Open to all nursing students in a Doctoral nursing program.,No,https://www.scholarshipscanada.com//Scholarships/84203/Frances-Moran-Award,N/A,Canada,All Years,Any School,N/A,Any School,"Family Practice Nurse/Nurse Practitioner, Nursing Science (MS, PhD), Nursing/Registered Nurse (RN, ASN, BSN, MSN)",n/s,Full-time or Part-time,Canada,N/A,n/s,No,Canadian Nurses Foundation,info@cnf-fiic.ca,6136800879 x 221,"135 Michael Cowpland Drive Suite 105, Kanata, ON, Canada.  K2M 2E9"
14,Dr. Dorothy J. Kergin Fellowship,"$15,000","March 15, 2024","Open to all eligible students at the master and doctorate level. Doctorate prize: $10,000; Master's prize: $5000.",No,https://www.scholarshipscanada.com//Scholarships/64940/Dr.-Dorothy-J.-Kergin-Fellowship,N/A,Canada,All Years,Any School,N/A,Any School,"Family Practice Nurse/Nurse Practitioner, Nursing Administration (MSN, MS, PhD), Nursing Science (MS, PhD), Nursing/Registered Nurse (RN, ASN, BSN, MSN)",n/s,Full-time or Part-time,Canada,N/A,n/s,No,Canadian Nurses Foundation,info@cnf-fiic.ca,6136800879 x 221,"135 Michael Cowpland Drive Suite 105, Kanata, ON, Canada.  K2M 2E9"
